HB,Year,NumberOfAttendancesAll,PercentageWithin4HoursAll,AllAges,attendanceperpop,attendanceper1000pop,HBName
S08000028,2010,7908,98.64166666666667,27600,0.0238768115942029,23.8768115942029,NHS Western Isles
S08000028,2009,8599,99.09444444444445,27420,0.026133600778020908,26.13360077802091,NHS Western Isles
S08000028,2011,8499,98.39444444444445,27690,0.025577825929938604,25.577825929938605,NHS Western Isles
S08000028,2008,8544,99.52222222222223,27280,0.026099706744868036,26.099706744868033,NHS Western Isles
S08000028,2007,4641,99.05,27210,0.02842704887908857,28.42704887908857,NHS Western Isles
S08000029,2015,89088,98.46666666666667,368080,0.02016952836339926,20.169528363399262,NHS Fife
S08000029,2012,87424,97.88416666666667,366210,0.019893867817190502,19.8938678171905,NHS Fife
S08000029,2021,75226,94.77291666666666,374730,0.01672893372116813,16.72893372116813,NHS Fife
S08000029,2018,92043,98.36875,371910,0.02062394127611519,20.62394127611519,NHS Fife
S08000029,2014,89241,98.24166666666666,367250,0.0202498298162015,20.249829816201498,NHS Fife
S08000029,2013,86283,98.61041666666667,366900,0.019597301717089125,19.597301717089124,NHS Fife
S08000029,2017,90141,98.16458333333334,371410,0.020224953555370077,20.224953555370078,NHS Fife
S08000029,2011,89501,96.09375,365300,0.020417236974176477,20.417236974176475,NHS Fife
S08000029,2020,71771,97.70416666666667,374130,0.015986199093006886,15.986199093006887,NHS Fife
S08000029,2019,95207,97.51041666666667,373550,0.021239236157587115,21.239236157587115,NHS Fife
S08000029,2007,44852,98.40833333333333,358740,0.020837746929066547,20.837746929066547,NHS Fife
S08000029,2016,91260,98.35833333333333,370330,0.020535738395485108,20.535738395485108,NHS Fife
S08000029,2010,85664,97.53958333333334,362610,0.019686899607475432,19.686899607475432,NHS Fife
S08000029,2009,86416,98.16041666666666,361420,0.019925110213417446,19.925110213417447,NHS Fife
S08000029,2022,84614,91.25416666666666,371340,0.01898843826861277,18.98843826861277,NHS Fife
S08000029,2008,87284,98.32083333333333,360040,0.020202384920194053,20.202384920194053,NHS Fife
S08000030,2014,111648,99.7128787878788,413800,0.022484291928467858,22.484291928467858,NHS Tayside
S08000030,2011,114720,99.66287878787878,410250,0.023302864107251676,23.302864107251676,NHS Tayside
S08000030,2020,76221,98.47708333333334,416550,0.015248469571480015,15.248469571480015,NHS Tayside
S08000030,2013,109239,99.65530303030303,412160,0.02208668963509317,22.08668963509317,NHS Tayside
S08000030,2017,109213,99.35583333333334,416090,0.021872872054924015,21.872872054924017,NHS Tayside
S08000030,2010,111573,99.73863636363636,407070,0.022840666224482276,22.840666224482277,NHS Tayside
S08000030,2012,112237,99.6635606060606,411740,0.022715993912015675,22.715993912015673,NHS Tayside
S08000030,2019,110869,98.80145833333333,417470,0.02213113117908672,22.131131179086722,NHS Tayside
S08000030,2015,107587,99.69060606060606,415040,0.02160173316628116,21.60173316628116,NHS Tayside
S08000030,2016,108175,99.65916666666666,415470,0.021697314687783315,21.697314687783315,NHS Tayside
S08000030,2018,107639,99.35083333333333,416080,0.021558153880663976,21.558153880663976,NHS Tayside
S08000030,2007,48340,99.59166666666667,398380,0.02022357213380859,20.22357213380859,NHS Tayside
S08000030,2021,80764,96.86666666666667,417650,0.016114769144818228,16.11476914481823,NHS Tayside
S08000030,2022,91828,94.98958333333333,414130,0.018478094640169352,18.478094640169353,NHS Tayside
S08000030,2009,109023,99.77314814814815,404370,0.02246766575166308,22.46766575166308,NHS Tayside
S08000030,2008,95485,99.71902777777778,401910,0.019798172061738534,19.798172061738534,NHS Tayside
S08000031,2009,466744,97.87953703703704,1122330,0.03465587958384195,34.65587958384195,NHS Greater Glasgow and Clyde
S08000031,2011,458258,95.89651515151515,1135400,0.03363410839058188,33.63410839058188,NHS Greater Glasgow and Clyde
S08000031,2012,463689,95.4475,1137320,0.03397526641578448,33.975266415784475,NHS Greater Glasgow and Clyde
S08000031,2015,419491,92.93717592592593,1149890,0.030400806453950668,30.40080645395067,NHS Greater Glasgow and Clyde
S08000031,2017,423430,93.64479166666666,1169110,0.030181790706890997,30.181790706890997,NHS Greater Glasgow and Clyde
S08000031,2018,437711,93.03483796296297,1174980,0.031043861739490603,31.043861739490602,NHS Greater Glasgow and Clyde
S08000031,2014,458395,91.77666666666667,1142590,0.03343245025191305,33.43245025191305,NHS Greater Glasgow and Clyde
S08000031,2021,369294,88.83715277777777,1185040,0.02596916559778573,25.96916559778573,NHS Greater Glasgow and Clyde
S08000031,2007,221438,96.63703703703703,1112000,0.03318914868105516,33.18914868105516,NHS Greater Glasgow and Clyde
S08000031,2010,465476,96.77583333333334,1127840,0.034392880786872845,34.392880786872844,NHS Greater Glasgow and Clyde
S08000031,2020,311621,93.6375,1185240,0.021909838232481747,21.909838232481746,NHS Greater Glasgow and Clyde
S08000031,2008,451078,98.08333333333333,1116840,0.03365731289471485,33.65731289471485,NHS Greater Glasgow and Clyde
S08000031,2016,423496,95.2212962962963,1161370,0.03038767432715959,30.38767432715959,NHS Greater Glasgow and Clyde
S08000031,2013,448860,93.53666666666666,1137920,0.032871379358830145,32.87137935883015,NHS Greater Glasgow and Clyde
S08000031,2022,398596,79.00983796296296,1179910,0.028151582182821853,28.151582182821855,NHS Greater Glasgow and Clyde
S08000031,2019,454744,90.25104166666667,1183120,0.03202999977460726,32.029999774607255,NHS Greater Glasgow and Clyde
S08000032,2008,194196,98.52,644590,0.02510588125785383,25.105881257853827,NHS Lanarkshire
S08000032,2011,191527,96.32833333333333,651620,0.024493697758407252,24.49369775840725,NHS Lanarkshire
S08000032,2014,189764,92.70166666666667,653300,0.02420582682789938,24.205826827899383,NHS Lanarkshire
S08000032,2017,205067,94.80833333333334,658130,0.025965867938958363,25.96586793895836,NHS Lanarkshire
S08000032,2020,173741,89.28430555555555,661960,0.021872041613793382,21.87204161379338,NHS Lanarkshire
S08000032,2007,95273,98.36666666666666,641530,0.024751505515460435,24.751505515460437,NHS Lanarkshire
S08000032,2009,199478,98.84333333333333,647340,0.02567918970968373,25.679189709683733,NHS Lanarkshire
S08000032,2010,189618,98.565,649460,0.0243302127921658,24.3302127921658,NHS Lanarkshire
S08000032,2012,194229,95.70666666666666,652220,0.024816396307994235,24.816396307994236,NHS Lanarkshire
S08000032,2013,185835,94.53,652590,0.023730443310501233,23.730443310501233,NHS Lanarkshire
S08000032,2015,187862,94.85166666666667,654490,0.023919642265988274,23.919642265988276,NHS Lanarkshire
S08000032,2016,198948,95.60000000000001,656490,0.02525400234580877,25.25400234580877,NHS Lanarkshire
S08000032,2018,207769,94.46166666666667,659200,0.026265296318770226,26.265296318770226,NHS Lanarkshire
S08000032,2019,217480,91.37666666666667,661900,0.027380772523543335,27.380772523543335,NHS Lanarkshire
S08000032,2021,196458,74.62777777777778,664030,0.02465475957411563,24.654759574115626,NHS Lanarkshire
S08000032,2022,197306,58.23888888888889,668360,0.024600764059289404,24.600764059289403,NHS Lanarkshire
